City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Hay River,CA,60.8156,-115.7999,30.9,93,100,11.16,light snow
238,Puerto Narino,CO,-3.7703,-70.3831,76.37,92,100,1.86,overcast clouds
239,Lensk,RU,60.7253,114.9278,29.07,85,99,9.55,overcast clouds
240,Rawson,AR,-43.3002,-65.1023,58.15,55,100,15.32,overcast clouds
241,Portland,US,45.5234,-122.6762,54.75,89,100,12.66,overcast clouds
242,Filadelfia,US,39.9523,-75.1638,69.03,91,100,1.01,overcast clouds
243,Vangaindrano,MG,-23.35,47.6,70.38,91,36,7.54,scattered clouds
244,Sitka,US,57.0531,-135.33,46.29,66,100,4.61,overcast clouds
245,Never,FR,46.9896,3.159,64.15,82,98,7.16,light rain
246,Marabba,SD,12.35,32.1833,82.31,19,10,10.92,clear sky
247,Batagay-Alyta,RU,67.8006,130.4114,14.52,70,100,7.14,overcast clouds
248,Saint Anthony,US,45.0205,-93.218,49.53,61,0,11.5,clear sky
249,Coruripe,BR,-10.1256,-36.1756,77.11,84,19,14.61,few clouds
250,Kantabanji,IN,20.4833,82.9167,65.97,77,0,0.31,clear sky
251,Mosquera,CO,4.7059,-74.2302,59.09,88,75,9.22,broken clouds
252,Faanui,PF,-16.4833,-151.75,79.65,77,100,23.6,light rain
253,Vao,NC,-22.6667,167.4833,71.65,79,100,13.87,overcast clouds
254,Taoudenni,ML,22.6783,-3.9836,81.19,13,69,10.51,broken clouds
255,Kruisfontein,ZA,-34.0033,24.7314,58.89,77,100,9.95,overcast clouds
256,Naryan-Mar,RU,67.6713,53.087,23.97,87,74,8.14,broken clouds
257,Yubari,JP,43.0378,141.9578,30.7,64,0,2.24,clear sky
258,Alyangula,AU,-13.8483,136.4192,84.29,72,28,15.43,scattered clouds
259,Urusha,RU,54.05,122.9,18.99,78,4,2.86,clear sky
260,Rafai,CF,4.95,23.9167,66.99,98,100,1.1,light rain
261,Melo,UY,-32.3667,-54.1833,62.04,77,7,13.4,clear sky
262,Karasjok,NO,69.4719,25.5112,30.27,97,100,3.85,overcast clouds
263,Gat,IL,31.61,34.7642,77.68,39,0,4.88,clear sky
264,Campoverde,PE,-8.4753,-74.8058,84.15,59,100,0.83,overcast clouds
265,Kloulklubed,PW,7.0419,134.2556,81.1,78,100,21.16,light rain
266,Port Hedland,AU,-20.3167,118.5667,68.05,64,0,6.91,clear sky
267,Kampot,KH,10.6167,104.1833,77.05,89,100,2.66,overcast clouds
268,Maragogi,BR,-9.0122,-35.2225,77.16,80,52,11.05,broken clouds
269,Yar-Sale,RU,66.8333,70.8333,18.95,95,97,8.79,overcast clouds
270,Kautokeino,NO,69.0125,23.0412,29.53,98,100,3.0,overcast clouds
